话题链接	话题内容	楼主ID	楼主昵称	楼主性别	发布日期	发布时间	转发量	评论量	点赞量	评论者ID	评论者昵称	评论者性别	评论日期	评论时间	评论内容
 	 	 	 	 	 	 	 	 	 	6667124992	九月蓦骛	f	2020/2/15	13:25:53	干得漂亮??致敬科研人员
 	 	 	 	 	 	 	 	 	 	6413815755	足球小贩	m	2020/2/15	13:21:15	我现在关心什么时候能走。一家老小等着吃饭，湖北下面小县城，深圳房东还要涨房租，怎么活，四月份还要几万喝茶费 中央在呐喊。下面毛都没见到一个。瞎放屁。吃的都不能去买。 要喷就喷。cao. 自己破产谁管哦
 	 	 	 	 	 	 	 	 	 	1655422175	简历义工	m	2020/2/15	13:16:38	啥时大规模使用？企业复工急需呀！
 	 	 	 	 	 	 	 	 	 	5169343918	慕容熠	m	2020/2/15	13:11:59	力挺钟老，钟老辛苦了
 	 	 	 	 	 	 	 	 	 	5819292350	甬城万事通	f	2020/2/15	13:10:26	甬城万事通
 	 	 	 	 	 	 	 	 	 	7239344893	松鹤wu	f	2020/2/15	13:03:15	
 	 	 	 	 	 	 	 	 	 	2665718573	YukiChous	f	2020/2/15	12:58:25	早就有人提出这个抗体的问题！还被人质疑！直到这两天才被发现！真的很无语！
 	 	 	 	 	 	 	 	 	 	1750051343	佳佳脑狐虎	f	2020/2/15	12:56:28	出口，赚点钱
 	 	 	 	 	 	 	 	 	 	6628156945	琰雪綾蠡亥	f	2020/2/15	12:54:05	
 	 	 	 	 	 	 	 	 	 	2619079657	芳草绘	f	2020/2/15	12:52:39	致敬！
 	 	 	 	 	 	 	 	 	 	6824134816	丨溯雪丨	f	2020/2/15	12:48:57	钟院士国士无双啊
 	 	 	 	 	 	 	 	 	 	1978297512	thrunderBOLfanstasy	f	2020/2/15	12:47:48	各位辛苦了
 	 	 	 	 	 	 	 	 	 	6405665229	逐梦人ye	f	2020/2/15	12:40:59	钟老辛苦了
 	 	 	 	 	 	 	 	 	 	5446880178	一曲入蛊	f	2020/2/15	12:40:45	大批生产，全国铁路，高速，机场都发放，这样全国人民都可以安心返工了。不能再呆在家里了，要发霉了。
 	 	 	 	 	 	 	 	 	 	6081322127	余恋lian	f	2020/2/15	12:34:50	钟老辛苦了！
 	 	 	 	 	 	 	 	 	 	6785735206	天涯有林	f	2020/2/15	12:34:42	加油培养接班人吧，人才要跟上。钟老这么大年纪了还要上战场，如果还有下一次，江山有恙可问谁？！
 	 	 	 	 	 	 	 	 	 	1765815247	奶茶姑娘LLY	f	2020/2/15	12:34:35	就感觉这个普通老百姓在家也能做，然后就能避免好多恐慌也能节省好多医疗资源吧。
 	 	 	 	 	 	 	 	 	 	1642804967	大吉大利_好運連連	f	2020/2/15	12:29:27	
 	 	 	 	 	 	 	 	 	 	3073341671	开水煮饺子zzz	m	2020/2/15	12:28:58	newbee！
 	 	 	 	 	 	 	 	 	 	2107099701	开心小小肥	f	2020/2/15	12:25:52	钟老辛苦了
 	 	 	 	 	 	 	 	 	 	5324466514	六月二十五的清晨	m	2020/2/15	12:25:53	好像验孕棒
 	 	 	 	 	 	 	 	 	 	7365341115	蛋比的纷比姐2	f	2020/2/15	12:15:34	这个真的好，为复产复工恢复经济助攻。
 	 	 	 	 	 	 	 	 	 	6264956364	小小da59	m	2020/2/15	12:13:28	另外钟老也是最早提出新型肺炎病毒具有人传(染)人的特性，还亲赴武汉市的医院进行调查走访，如今又指导研发快速检测试剂盒，钟老真的伟大！
